"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","Reading.time","Newline.","Sentence..or.sentence.MD5.","Comments"
"1",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",1,0,"consent","NULL","PennController","0","_Trial_","Start",1698332066535,"NULL","","",""
"2",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",1,0,"consent","NULL","PennController","0","_Trial_","End",1698332070471,"NULL","","",""
"3",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",2,0,"instructions","NULL","PennController","1","_Trial_","Start",1698332070474,"NULL","","",""
"4",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",2,0,"instructions","NULL","PennController","1","_Trial_","End",1698332072721,"NULL","","",""
"5",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","PennController","2","_Trial_","Start",1698332072723,"NULL","","",""
"6",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","1","This",1698332098270,"754","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"7",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","2","is",1698332098270,"521","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"8",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","3","a",1698332098270,"378","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"9",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","4","practice",1698332098270,"337","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"10",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","5","trial",1698332098270,"320","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"11",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","6","to",1698332098270,"264","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"12",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","7","help",1698332098270,"345","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"13",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","8","you",1698332098270,"224","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"14",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","9","understand",1698332098270,"225","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"15",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","10","the",1698332098270,"289","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"16",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Controller-DashedSentence","DashedSentence","11","task.",1698332098270,"240","false","This is a practice trial to help you understand the task.","Any addtional parameters were appended as additional columns"
"17",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","Scale","exeval","Choice","3",1698332100409,"NULL","","",""
"18",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",3,0,"practice-trial-1","NULL","PennController","2","_Trial_","End",1698332102867,"NULL","","",""
"19",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","PennController","3","_Trial_","Start",1698332102871,"NULL","","",""
"20",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","1","I",1698332105457,"265","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"21",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","2","believe",1698332105457,"194","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"22",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","3","that",1698332105457,"400","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"23",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","4","you",1698332105457,"231","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"24",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","5","are",1698332105457,"222","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"25",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","6","a",1698332105457,"217","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"26",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","7","wonderful",1698332105457,"241","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"27",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Controller-DashedSentence","DashedSentence","8","person!",1698332105457,"270","false","I believe that you are a wonderful person!","Any addtional parameters were appended as additional columns"
"28",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","Scale","exeval2","Choice","4",1698332108184,"NULL","","",""
"29",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",4,0,"practice-trial-2","NULL","PennController","3","_Trial_","End",1698332108789,"NULL","","",""
"30",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",5,0,"pre-experiment","NULL","PennController","4","_Trial_","Start",1698332108792,"NULL","","",""
"31",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",5,0,"pre-experiment","NULL","PennController","4","_Trial_","End",1698332110533,"NULL","","",""
"32",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",14,0,"experimental-trials","NULL","PennController","14","_Trial_","Start",1698332110535,"NULL","","",""
"33",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",14,0,"experimental-trials","NULL","Controller-DashedSentence","DashedSentence","1","The",1698332114298,"319","false","The chef received a prize because she was exceptional in the kitchen.","Any addtional parameters were appended as additional columns"
"34",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",14,0,"experimental-trials","NULL","Controller-DashedSentence","DashedSentence","2","chef",1698332114298,"245","false","The chef received a prize because she was exceptional in the kitchen.","Any addtional parameters were appended as additional columns"
"35",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",14,0,"experimental-trials","NULL","Controller-DashedSentence","DashedSentence","3","received",1698332114298,"296","false","The chef received a prize because she was exceptional in the kitchen.","Any addtional parameters were appended as additional columns"
"36",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",14,0,"experimental-trials","NULL","Controller-DashedSentence","DashedSentence","4","a",1698332114298,"302","false","The chef received a prize because she was exceptional in the kitchen.","Any addtional parameters were appended as additional columns"
"37",1698332208,"c63ccbd28db88d171d1d7eefabbc83d9","PennController",14,0,"experimental-trials","NULL","Controller-DashedSentence","DashedSentence","5","prize",1698332114298,"274","false","The chef received a prize because she was exceptional in the kitchen.","Any addtional parameters were appended as additional columns"
